Data/Ora, Particelle sospese PM2.5 - µg/m³
2023/06/18,14
2023/06/19,14
2023/06/20,13
2023/06/21,15
2023/06/22,21
2023/06/23,12
2023/06/24,12
2023/06/25,8
2023/06/26,16
2023/06/27,19
2023/06/28,11
2023/06/29,8
2023/06/30,15
2023/07/01,15
2023/07/02,12
2023/07/03,9
2023/07/04,8
2023/07/05,10
2023/07/06,11
2023/07/07,10
2023/07/08,12
2023/07/09,14
2023/07/10,19
2023/07/11,20
2023/07/12,15
2023/07/13,8
2023/07/14,10
2023/07/15,15
2023/07/16,14
2023/07/17,14
2023/07/18,16
2023/07/19,17
2023/07/20,15
2023/07/21,13
2023/07/22,11
2023/07/23,14
2023/07/24,18
2023/07/25,10
2023/07/26,4
2023/07/27,6
2023/07/28,10
2023/07/29,8
2023/07/30,8
2023/07/31,10
2023/08/01,10
2023/08/02,11
2023/08/03,9
2023/08/04,8
2023/08/05,6
2023/08/06,3
2023/08/07,3
2023/08/08,5
2023/08/09,8
2023/08/10,11
2023/08/11,12
2023/08/12,12
2023/08/13,13
2023/08/14,15
2023/08/15,13
2023/08/16,15
2023/08/17,9
2023/08/18,12
2023/08/19,17
2023/08/20,16
2023/08/21,16
2023/08/22,18
2023/08/23,18
2023/08/24,18
2023/08/25,16
2023/08/26,10
2023/08/27,10
2023/08/28,6
2023/08/29,4
2023/08/30,7
2023/08/31,8
2023/09/01,8
2023/09/02,12
2023/09/03,13
2023/09/04,16
2023/09/05,10
2023/09/06,14
2023/09/07,15
2023/09/08,17
2023/09/09,19
2023/09/10,24
2023/09/11,27
2023/09/12,20
2023/09/13,15
2023/09/14,14
2023/09/15,10
2023/09/16,16
2023/09/17,12
2023/09/18,14
2023/09/19,10
2023/09/20,13
2023/09/21,12
2023/09/22,8
2023/09/23,4
2023/09/24,5
2023/09/25,8
2023/09/26,11
2023/09/27,16
2023/09/28,19
2023/09/29,22
2023/09/30,29
2023/10/01,30
2023/10/02,36
2023/10/03,36
2023/10/04,22
2023/10/05,18
2023/10/06,27
2023/10/07,29
2023/10/08,20
2023/10/09,14
2023/10/10,17
2023/10/11,31
2023/10/12,24
2023/10/13,12
2023/10/14,14
2023/10/15,13
2023/10/16,6
2023/10/17,12
2023/10/18,19
2023/10/19,18
2023/10/20,9
2023/10/21,11
2023/10/22,7
2023/10/23,13
2023/10/24,10
2023/10/25,20
2023/10/26,25
2023/10/27,13
2023/10/28,15
2023/10/29,8
2023/10/30,16
2023/10/31,7
2023/11/01,11
2023/11/02,10
2023/11/03,6
2023/11/04,10
2023/11/05,6
2023/11/06,17
2023/11/07,17
2023/11/08,17
2023/11/09,19
2023/11/10,11
2023/11/11,14
2023/11/12,19
2023/11/13,28
2023/11/14,34
2023/11/15,21
2023/11/16,25
2023/11/17,14
2023/11/18,11
2023/11/19,27
2023/11/20,43
2023/11/21,35
2023/11/22,18
2023/11/23,23
2023/11/24,27
2023/11/25,3
2023/11/26,9
2023/11/27,20
2023/11/28,22
2023/11/29,15
2023/11/30,18
2023/12/01,20
2023/12/02,9
2023/12/03,11
2023/12/04,23
2023/12/05,25
2023/12/06,32
2023/12/07,42
2023/12/08,19
2023/12/09,23
2023/12/10,23
2023/12/11,36
2023/12/12,35
2023/12/13,31
2023/12/14,34
2023/12/15,36
2023/12/16,19
2023/12/17,35
2023/12/18,44
2023/12/19,42
2023/12/20,56
2023/12/21,51
2023/12/22,12
2023/12/23,11
2023/12/24,8
2023/12/25,16
2023/12/26,31
2023/12/27,37
2023/12/28,36
2023/12/29,23
2023/12/30,28
2023/12/31,37
2024/01/01,31
2024/01/02,24
2024/01/03,26
2024/01/04,30
2024/01/05,24
2024/01/06,13
2024/01/07,15
2024/01/08,13
2024/01/09,12
2024/01/10,16
2024/01/11,29
2024/01/12,45
2024/01/13,42
2024/01/14,42
2024/01/15,46
2024/01/16,49
2024/01/17,40
2024/01/18,36
2024/01/19,26
2024/01/20,13
2024/01/21,25
2024/01/22,35
2024/01/23,38
2024/01/24,52
2024/01/25,72
2024/01/26,82
2024/01/27,62
2024/01/28,46
2024/01/29,40
2024/01/30,49
2024/01/31,60
2024/02/01,60
2024/02/02,65
2024/02/03,51
