Data/Ora, Ozono - µg/m³
2023/08/22,194.0
2023/08/23,170.8
2023/08/24,173.2
2023/08/25,175.2
2023/08/26,132.3
2023/08/27,72.9
2023/08/28,78.0
2023/08/29,78.6
2023/08/30,101.0
2023/08/31,98.5
2023/09/01,103.8
2023/09/02,134.3
2023/09/03,108.3
2023/09/04,120.3
2023/09/05,114.3
2023/09/06,165.7
2023/09/07,142.3
2023/09/08,155.9
2023/09/09,153.6
2023/09/10,170.8
2023/09/11,164.7
2023/09/12,140.8
2023/09/13,94.6
2023/09/14,101.9
2023/09/15,99.1
2023/09/16,104.8
2023/09/17,86.5
2023/09/18,74.4
2023/09/19,97.2
2023/09/20,96.8
2023/09/21,69.9
2023/09/22,65.3
2023/09/23,64.5
2023/09/24,84.9
2023/09/25,107.1
2023/09/26,100.8
2023/09/27,113.9
2023/09/28,110.6
2023/09/29,135.5
2023/09/30,149.0
2023/10/01,147.1
2023/10/02,133.3
2023/10/03,132.3
2023/10/04,117.9
2023/10/05,80.1
2023/10/06,95.5
2023/10/07,110.7
2023/10/08,80.6
2023/10/09,76.4
2023/10/10,91.2
2023/10/11,112.4
2023/10/12,104.5
2023/10/13,94.3
2023/10/14,86.0
2023/10/15,70.3
2023/10/16,64.3
2023/10/17,67.0
2023/10/18,44.3
2023/10/19,13.5
2023/10/20,44.0
2023/10/21,44.1
2023/10/22,73.2
2023/10/23,26.6
2023/10/24,24.9
2023/10/25,23.9
2023/10/26,8.0
2023/10/27,54.9
2023/10/28,47.1
2023/10/29,55.3
2023/10/30,41.9
2023/10/31,69.8
2023/11/01,37.5
2023/11/02,44.6
2023/11/03,58.4
2023/11/04,35.0
2023/11/05,61.9
2023/11/06,40.5
2023/11/07,42.9
2023/11/08,25.8
2023/11/09,12.5
2023/11/10,42.9
2023/11/11,49.9
2023/11/12,43.1
2023/11/13,24.4
2023/11/14,8.4
2023/11/15,23.8
2023/11/16,18.6
2023/11/17,64.7
2023/11/18,58.9
2023/11/19,48.9
2023/11/20,10.7
2023/11/21,40.3
2023/11/22,49.2
2023/11/23,24.5
2023/11/24,49.7
2023/11/25,79.2
2023/11/26,63.2
2023/11/27,15.2
2023/11/28,45.1
2023/11/29,51.6
2023/11/30,18.2
2023/12/01,21.6
2023/12/02,52.7
2023/12/03,60.5
2023/12/04,15.9
2023/12/05,22.6
2023/12/06,15.8
2023/12/07,12.0
2023/12/08,28.3
2023/12/09,18.9
2023/12/10,25.7
2023/12/11,8.2
2023/12/12,7.1
2023/12/13,4.7
2023/12/14,12.7
2023/12/15,13.8
2023/12/16,30.7
2023/12/17,17.7
2023/12/18,15.4
2023/12/19,10.7
2023/12/20,5.9
2023/12/21,7.5
2023/12/22,64.6
2023/12/23,45.9
2023/12/24,59.0
2023/12/25,54.6
2023/12/26,24.8
2023/12/27,4.8
2023/12/28,3.5
2023/12/29,6.2
2023/12/30,12.9
2023/12/31,16.6
2024/01/01,20.5
2024/01/02,2.8
2024/01/03,15.6
2024/01/04,30.2
2024/01/05,25.1
2024/01/06,34.8
2024/01/07,26.0
2024/01/08,24.8
2024/01/09,45.2
2024/01/10,38.3
2024/01/11,25.3
2024/01/12,20.4
2024/01/13,31.6
2024/01/14,3.5
2024/01/15,36.4
2024/01/16,36.8
2024/01/17,8.7
2024/01/18,9.4
2024/01/19,35.6
2024/01/20,55.7
2024/01/21,32.4
2024/01/22,42.3
2024/01/23,21.8
2024/01/24,31.6
2024/01/25,29.1
2024/01/26,11.2
2024/01/27,15.9
2024/01/28,25.1
2024/01/29,12.5
2024/01/30,14.5
2024/01/31,19.4
2024/02/01,14.6
2024/02/02,25.6
2024/02/03,49.2
2024/02/04,34.9
2024/02/05,41.6
2024/02/06,41.3
2024/02/07,62.4
2024/02/08,29.2
2024/02/09,37.0
2024/02/10,43.9
2024/02/11,46.3
2024/02/12,44.0
2024/02/13,43.6
2024/02/14,55.1
2024/02/15,26.3
2024/02/16,21.4
2024/02/17,70.7
2024/02/18,78.6
2024/02/19,76.9
2024/02/20,80.2
2024/02/21,72.8
2024/02/22,50.5
2024/02/23,66.4
2024/02/24,50.5
2024/02/25,67.8
2024/02/26,59.1
2024/02/27,62.2
2024/02/28,37.5
2024/02/29,43.4
2024/03/01,27.2
2024/03/02,52.3
2024/03/03,73.4
2024/03/04,68.4
2024/03/05,54.9
2024/03/06,65.8
2024/03/07,81.0
2024/03/08,55.6
2024/03/09,42.5
2024/03/10,76.4
2024/03/11,61.7
2024/03/12,82.4
2024/03/13,84.4
2024/03/14,99.0
2024/03/15,87.8
2024/03/16,97.0
2024/03/17,99.2
2024/03/18,81.6
2024/03/19,68.0
2024/03/20,83.8
2024/03/21,96.2
2024/03/22,97.3
2024/03/23,87.0
2024/03/24,100.9
2024/03/25,84.9
2024/03/26,62.1
2024/03/27,68.3
2024/03/28,61.8
2024/03/29,24.8
2024/03/30,75.5
2024/03/31,70.8
2024/04/01,92.9
2024/04/02,94.7
2024/04/03,77.1
2024/04/04,93.1
2024/04/05,94.1
2024/04/06,102.6
2024/04/07,102.0
2024/04/08,126.1
2024/04/09,78.9
2024/04/10,88.0
2024/04/11,94.1
2024/04/12,110.9
2024/04/13,139.2
2024/04/14,135.0
2024/04/15,108.3
2024/04/16,123.2
2024/04/17,91.3
2024/04/18,94.9
2024/04/19,109.1
2024/04/20,93.3
2024/04/21,93.4
2024/04/22,79.5
2024/04/23,70.3
2024/04/24,98.4
2024/04/25,103.7
2024/04/26,91.8
2024/04/27,89.4
2024/04/28,84.8
2024/04/29,104.2
2024/04/30,114.6
2024/05/01,74.4
2024/05/02,76.9
2024/05/03,92.3
2024/05/04,99.0
2024/05/05,98.6
2024/05/06,83.9
2024/05/07,65.6
2024/05/08,96.0
2024/05/09,94.5
2024/05/10,126.5
2024/05/11,126.6
2024/05/12,136.7
2024/05/13,121.5
2024/05/14,108.3
2024/05/15,84.3
2024/05/16,66.8
2024/05/17,86.6
2024/05/18,97.4
2024/05/19,105.0
2024/05/20,97.1
2024/05/21,106.3
2024/05/22,99.8
2024/05/23,93.4
2024/05/24,92.5
2024/05/25,110.4
2024/05/26,112.0
2024/05/27,112.2
2024/05/28,125.5
2024/05/29,120.6
2024/05/30,89.4
2024/05/31,71.2
2024/06/01,103.7
2024/06/02,107.2
2024/06/03,120.1
2024/06/04,118.1
2024/06/05,115.1
